,0
1080,1000
1081,60
1082,60
1083,1
1084,15
1085,90
1086,17
1087,4
1088,1000000000
1089,90
1090,20
1091,13
1092,80
1093,40
1094,5
1095,20
1096,4
1097,1000
1098,0
1099,1000000
1100,6
1101,0
1102,17
1103,12
1104,14
1105,14
1106,100
1107,12
1108,8
1109,20
1110,14
1111,7
1112,14
1113,15
1114,18
1115,19
1116,50
1117,18
1118,19
1119,5
1120,10
1121,20
1122,70
1123,4
1124,60
1125,19
1126,7
1127,17
1128,1
1129,100
1130,100
1131,70
1132,60
1133,30
1134,4
1135,90
1136,6
1137,3
1138,16
1139,12
1140,40
1141,80
1142,13
1143,11
1144,10
1145,70
1146,80
1147,8
1148,1
1149,50
1150,1000
1151,18
1152,60
1153,10
1154,11
1155,60
1156,9
1157,2
1158,30
1159,100
1160,100
1161,1000000000
1162,40
1163,1000000
1164,2
1165,6
1166,10
1167,70
1168,70
1169,16
1170,1
1171,100
1172,17
1173,12
1174,8
1175,6
1176,1000000
1177,19
1178,0
1179,7
1180,17
1181,8
1182,7
1183,6
1184,90
1185,1000000000
1186,1000000
1187,1000000
1188,1000000000
1189,90
1190,19
1191,90
1192,1000
1193,12
1194,1000
1195,1000
1196,20
1197,11
1198,50
1199,1000000000
1200,80
1201,15
1202,12
1203,2
1204,0
1205,18
1206,11
1207,100
1208,15
1209,1000000000
1210,19
1211,11
1212,70
1213,2
1214,6
1215,50
1216,8
1217,14
1218,20
1219,12
1220,1000
1221,30
1222,1
1223,30
1224,18
1225,12
1226,16
1227,5
1228,50
1229,40
1230,80
1231,14
1232,15
1233,90
1234,2
1235,3
1236,1000000
1237,10
1238,80
1239,1000
1240,16
1241,90
1242,1000000
1243,9
1244,12
1245,14
1246,9
1247,1
1248,30
1249,30
1250,14
1251,60
1252,10
1253,16
1254,17
1255,18
1256,1
1257,80
1258,50
1259,6
1260,6
1261,5
1262,70
1263,2
1264,1000
1265,9
1266,60
1267,7
1268,1
1269,5
1270,11
1271,1000000000
1272,1000000000
1273,19
1274,70
1275,1
1276,6
1277,1000000000
1278,1
1279,70
1280,3
1281,10
1282,14
1283,1000000
1284,3
1285,0
1286,60
1287,60
1288,20
1289,1000
1290,1000000000
1291,17
1292,90
1293,3
1294,30
1295,16
1296,4
1297,70
1298,50
1299,1000000
1300,19
1301,30
1302,19
1303,20
1304,19
1305,90
1306,11
1307,1
1308,16
1309,9
1310,8
1311,60
1312,100
1313,40
1314,9
1315,4
1316,80
1317,90
1318,11
1319,50
1320,16
1321,80
1322,13
1323,60
1324,1000000000
1325,20
1326,90
1327,14
1328,6
1329,18
1330,2
1331,17
1332,70
1333,16
1334,14
1335,30
1336,9
1337,100
1338,20
1339,18
1340,80
1341,5
1342,2
1343,15
1344,19
1345,1000000000
1346,70
1347,16
1348,1000000000
1349,1000000000
1350,6
1351,80
1352,17
1353,100
1354,2
1355,9
1356,100
1357,10
1358,14
1359,16
1360,9
1361,20
1362,18
1363,5
1364,19
1365,5
1366,10
1367,10
1368,1000
1369,11
1370,80
1371,12
1372,6
1373,7
1374,9
1375,1000
1376,50
1377,10
1378,50
1379,1000000000
1380,2
1381,0
1382,17
1383,30
1384,14
1385,1000000000
1386,30
1387,8
1388,1000
1389,90
1390,13
1391,9
1392,8
1393,3
1394,12
1395,12
1396,16
1397,1000000000
1398,90
1399,1000000000
1400,4
1401,9
1402,50
1403,18
1404,30
1405,1000000000
1406,60
1407,4
1408,1000000
1409,20
1410,5
1411,1000000000
1412,8
1413,90
1414,18
1415,80
1416,3
1417,1000
1418,1000
1419,17
1420,9
1421,9
1422,0
1423,20
1424,14
1425,8
1426,90
1427,1000
1428,7
1429,12
1430,3
1431,5
1432,30
1433,1000000
1434,20
1435,17
1436,20
1437,13
1438,30
1439,13
1440,5
1441,1000
1442,60
1443,1000000000
1444,1000000
1445,7
1446,60
1447,12
1448,14
1449,30
1450,2
1451,40
1452,14
1453,1
1454,1000000
1455,6
1456,4
1457,7
1458,5
1459,4
1460,3
1461,15
1462,15
1463,2
1464,13
1465,20
1466,6
1467,6
1468,80
1469,12
1470,1000000
1471,20
1472,17
1473,5
1474,40
1475,12
1476,1000
1477,13
1478,12
1479,50
1480,13
1481,80
1482,50
1483,7
1484,11
1485,7
1486,16
1487,1000
1488,2
1489,20
1490,30
1491,16
1492,18
1493,17
1494,50
1495,100
1496,16
1497,5
1498,18
1499,12
1500,1
1501,100
1502,0
1503,2
1504,6
1505,16
1506,1000000
1507,6
1508,2
1509,11
1510,1
1511,18
1512,2
1513,3
1514,70
1515,19
1516,0
1517,100
1518,15
1519,60
1520,7
1521,60
1522,7
1523,13
1524,90
1525,13
1526,0
1527,19
1528,4
1529,17
1530,60
1531,1000000
1532,20
1533,80
1534,60
1535,9
1536,90
1537,16
1538,7
1539,40
1540,70
1541,14
1542,16
1543,30
1544,11
1545,70
1546,18
1547,12
1548,50
1549,60
1550,19
1551,20
1552,7
1553,70
1554,4
1555,60
1556,16
1557,80
1558,70
1559,2
1560,13
1561,50
1562,11
1563,6
1564,14
1565,18
1566,7
1567,70
1568,90
1569,0
1570,0
1571,10
1572,1000
1573,4
1574,0
1575,18
1576,19
1577,50
1578,15
1579,70
1580,70
1581,19
1582,100
1583,16
1584,90
1585,1000000000
1586,40
1587,30
1588,17
1589,10
1590,19
1591,15
1592,19
1593,0
1594,4
1595,70
1596,90
1597,15
1598,1000
1599,90
1600,4
1601,30
1602,1
1603,1000
1604,4
1605,6
1606,20
1607,16
1608,70
1609,20
1610,100
1611,1
1612,8
1613,3
1614,30
1615,13
1616,2
1617,1
1618,13
1619,4
1620,20
1621,4
1622,19
1623,80
1624,6
1625,2
1626,1000000000
1627,80
1628,11
1629,0
1630,2
1631,18
1632,100
1633,14
1634,90
1635,3
1636,8
1637,10
1638,50
1639,10
1640,14
1641,30
1642,14
1643,7
1644,60
1645,1000000
1646,6
1647,0
1648,1000000
1649,14
1650,0
1651,40
1652,12
1653,8
1654,19
1655,20
1656,8
1657,60
1658,100
1659,8
1660,30
1661,12
1662,19
1663,4
1664,1000000000
1665,11
1666,1000000000
1667,8
1668,7
1669,9
1670,8
1671,40
1672,2
1673,16
1674,1000
1675,16
1676,15
1677,50
1678,17
1679,0
1680,0
1681,1
1682,1000000000
1683,50
1684,6
1685,70
1686,7
1687,10
1688,12
1689,12
1690,50
1691,19
1692,1000
1693,3
1694,5
1695,18
1696,11
1697,19
1698,60
1699,0
1700,2
1701,8
1702,70
1703,90
1704,70
1705,10
1706,4
1707,80
1708,6
1709,30
1710,2
1711,7
1712,11
1713,19
1714,14
1715,1000
1716,0
1717,1
1718,70
1719,90
1720,4
1721,3
1722,1
1723,100
1724,90
1725,40
1726,10
1727,12
1728,20
1729,0
1730,6
1731,2
1732,90
1733,7
1734,7
1735,4
1736,9
1737,7
1738,6
1739,8
1740,70
1741,19
1742,11
1743,18
1744,70
1745,1000
1746,1000000
1747,9
1748,50
1749,90
1750,5
1751,6
1752,9
1753,30
1754,6
1755,40
1756,7
1757,4
1758,19
1759,80
1760,16
1761,20
1762,8
1763,19
1764,1000000000
1765,1000
1766,17
1767,6
1768,9
1769,80
1770,3
1771,14
1772,18
1773,6
1774,3
1775,80
1776,50
1777,15
1778,12
1779,40
1780,2
1781,9
1782,6
1783,18
1784,6
1785,40
1786,9
1787,0
1788,10
1789,70
1790,7
1791,50
1792,19
1793,11
1794,9
1795,4
1796,12
1797,5
1798,10
1799,8
1800,100
1801,13
1802,9
1803,8
1804,2
1805,9
1806,6
1807,18
1808,3
1809,50
1810,14
1811,70
1812,14
1813,18
1814,90
1815,10
1816,4
1817,2
1818,7
1819,8
1820,11
1821,17
1822,0
1823,9
1824,1
1825,30
1826,90
1827,6
1828,10
1829,16
1830,11
1831,50
1832,5
1833,80
1834,16
1835,10
1836,18
1837,100
1838,70
1839,14
1840,30
1841,1000
1842,5
1843,10
1844,15
1845,2
1846,3
1847,9
1848,8
1849,8
1850,6
1851,0
1852,4
1853,15
1854,6
1855,15
1856,16
1857,18
1858,13
1859,1
1860,11
1861,40
1862,90
1863,1000000
1864,9
1865,3
1866,4
1867,13
1868,11
1869,1000000
1870,1000000000
1871,5
1872,1
1873,40
1874,60
1875,1000000
1876,8
1877,6
1878,40
1879,3
1880,8
1881,30
1882,18
1883,2
1884,90
1885,50
1886,0
1887,80
1888,14
1889,10
1890,5
1891,30
1892,11
1893,13
1894,17
1895,18
1896,7
1897,14
1898,19
1899,90
1900,30
1901,14
1902,20
1903,70
1904,30
1905,19
1906,1000000000
1907,15
1908,1000000
1909,1000
1910,100
1911,10
1912,7
1913,20
1914,50
1915,6
1916,1000000
1917,40
1918,3
1919,1000
1920,10
1921,20
1922,11
1923,11
1924,0
1925,60
1926,1000000
1927,4
1928,15
1929,1000000000
1930,10
1931,20
1932,30
1933,3
1934,12
1935,3
1936,13
1937,30
1938,50
1939,18
1940,3
1941,1000
1942,1
1943,19
1944,90
1945,20
1946,13
1947,4
1948,16
1949,80
1950,11
1951,1000000000
1952,8
1953,70
1954,18
1955,12
1956,7
1957,7
1958,20
1959,1000000
1960,4
1961,4
1962,90
1963,20
1964,1000000
1965,8
1966,70
1967,3
1968,3
1969,5
1970,13
1971,40
1972,30
1973,18
1974,5
1975,70
1976,40
1977,60
1978,8
1979,11
1980,18
1981,40
1982,2
1983,1000000
1984,18
1985,11
1986,8
1987,16
1988,3
1989,17
1990,1
1991,100
1992,8
1993,15
1994,9
1995,80
1996,80
1997,50
1998,1000
1999,20
2000,15
2001,8
2002,50
2003,3
2004,50
2005,6
2006,14
2007,13
2008,5
2009,1000000000
2010,9
2011,10
2012,8
2013,20
2014,30
2015,60
2016,9
2017,1000
2018,11
2019,70
2020,80
2021,100
2022,30
2023,3
2024,50
2025,0
2026,19
2027,3
2028,19
2029,8
2030,5
2031,80
2032,8
2033,5
2034,0
2035,70
2036,60
2037,3
2038,100
2039,20
2040,8
2041,1000000
2042,19
2043,40
2044,40
2045,7
2046,30
2047,40
2048,9
2049,50
2050,14
2051,2
2052,1
2053,6
2054,5
2055,80
2056,2
2057,0
2058,1
2059,13
2060,70
2061,11
2062,60
2063,11
2064,30
2065,7
2066,90
2067,8
2068,13
2069,8
2070,100
2071,0
2072,4
2073,12
2074,12
2075,6
2076,40
2077,40
2078,11
2079,19
2080,1000000
2081,12
2082,80
2083,8
2084,5
2085,8
2086,1000
2087,11
2088,1000
2089,70
2090,90
2091,14
2092,8
2093,3
2094,9
2095,14
2096,70
2097,11
2098,20
2099,15
2100,1000
2101,6
2102,20
2103,13
2104,8
2105,2
2106,13
2107,6
2108,0
2109,15
2110,9
2111,70
2112,9
2113,10
2114,7
2115,1
2116,100
2117,50
2118,19
2119,6
2120,6
2121,80
2122,0
2123,7
2124,10
2125,60
2126,4
2127,16
2128,30
2129,1000000000
2130,4
2131,8
2132,7
2133,0
2134,20
2135,6
2136,70
2137,10
2138,30
2139,17
2140,18
2141,40
2142,1
2143,100
2144,5
2145,19
2146,100
2147,1000
2148,7
2149,2
2150,17
2151,8
2152,11
2153,0
2154,4
2155,14
2156,0
2157,14
2158,5
2159,6
2160,90
2161,1
2162,10
2163,0
2164,11
2165,5
2166,13
2167,100
2168,50
2169,90
2170,30
2171,30
2172,60
2173,30
2174,7
2175,50
2176,3
2177,4
2178,1000000
2179,18
2180,20
2181,19
2182,12
2183,10
2184,80
2185,60
2186,18
2187,30
2188,90
2189,70
2190,2
2191,90
2192,7
2193,12
2194,10
2195,90
2196,14
2197,2
2198,6
2199,40
2200,20
2201,1000000
2202,20
2203,7
2204,9
2205,15
2206,14
2207,17
2208,13
2209,3
2210,11
2211,10
2212,1000000
2213,3
2214,9
2215,1000
2216,9
2217,1000
2218,10
2219,80
2220,18
2221,0
2222,11
2223,5
2224,17
2225,11
2226,11
2227,15
2228,13
2229,19
2230,6
2231,1000
2232,1
2233,60
2234,15
2235,30
2236,18
2237,19
2238,1
2239,4
2240,10
2241,10
2242,12
2243,4
2244,8
2245,100
2246,1000000
2247,30
2248,11
2249,70
2250,0
2251,7
2252,50
2253,19
2254,17
2255,0
2256,16
2257,30
2258,17
2259,8
2260,1000000000
2261,11
2262,50
2263,100
2264,13
2265,20
2266,7
2267,7
2268,5
2269,30
2270,1000
2271,50
2272,1000
2273,20
2274,50
2275,2
2276,7
2277,1000000000
2278,13
2279,40
2280,40
2281,30
2282,70
2283,10
2284,2
2285,14
2286,70
2287,5
2288,13
2289,3
2290,4
2291,3
2292,1000000
2293,9
2294,1000000000
2295,11
2296,9
2297,1000000000
2298,100
2299,4
2300,9
2301,14
2302,19
2303,1000000
2304,60
2305,9
2306,16
2307,1000000000
2308,70
2309,16
2310,12
2311,20
2312,13
2313,13
2314,50
2315,12
2316,1
2317,19
2318,6
2319,100
2320,4
2321,20
2322,17
2323,3
2324,30
2325,16
2326,5
2327,60
2328,0
2329,17
2330,6
2331,12
2332,11
2333,100
2334,1000
2335,40
2336,14
2337,6
2338,80
2339,13
2340,1
2341,18
2342,10
2343,10
2344,50
2345,1
2346,1000000000
2347,90
2348,11
2349,1000
2350,100
2351,18
2352,13
2353,19
2354,16
2355,7
2356,90
2357,12
2358,10
2359,12
2360,70
2361,40
2362,3
2363,2
2364,20
2365,7
2366,60
2367,60
2368,13
2369,40
2370,17
2371,70
2372,17
2373,80
2374,60
2375,8
2376,1000
2377,5
2378,15
2379,2
2380,1000000
2381,30
2382,1000000
2383,6
2384,16
2385,60
2386,100
2387,8
2388,40
2389,17
2390,2
2391,1000000
2392,1
2393,6
2394,19
2395,0
2396,50
2397,4
2398,13
2399,2
2400,5
2401,13
2402,11
2403,13
2404,19
2405,3
2406,12
2407,3
2408,1000
2409,19
2410,4
2411,10
2412,5
2413,80
2414,14
2415,0
2416,1000000
2417,100
2418,15
2419,13
2420,13
2421,16
2422,17
2423,1
2424,3
2425,1000000000
2426,90
2427,100
2428,11
2429,0
2430,20
2431,100
2432,7
2433,5
2434,2
2435,1000000000
2436,3
2437,30
2438,30
2439,1
2440,10
2441,13
2442,17
2443,13
2444,40
2445,1000000000
2446,1000000000
2447,3
2448,70
2449,12
2450,20
2451,12
2452,70
2453,1000
2454,70
2455,8
2456,80
2457,100
2458,7
2459,16
2460,60
2461,1000000000
2462,14
2463,80
2464,3
2465,1000
2466,11
2467,13
2468,20
2469,50
2470,11
2471,1000
2472,1000000
2473,30
2474,70
2475,14
2476,7
2477,3
2478,18
2479,19
2480,0
2481,8
2482,3
2483,40
2484,10
2485,15
2486,5
2487,7
2488,8
2489,40
2490,1000
2491,18
2492,1000000
2493,8
2494,17
2495,9
2496,13
2497,6
2498,20
2499,1000
2500,80
2501,0
2502,11
2503,18
2504,3
2505,17
2506,20
2507,17
2508,1
2509,3
2510,7
2511,80
2512,50
2513,13
2514,70
2515,90
2516,9
2517,8
2518,10
2519,0
2520,18
2521,4
2522,1000000
2523,8
2524,100
2525,30
2526,30
2527,14
2528,16
2529,90
2530,20
2531,90
2532,30
2533,13
2534,1
2535,5
2536,70
2537,6
2538,19
2539,60
2540,30
2541,1000
2542,100
2543,0
2544,18
2545,1
2546,7
2547,2
2548,12
2549,7
2550,2
2551,5
2552,50
2553,1000
2554,1000000000
2555,50
2556,1000
2557,70
2558,9
2559,90
2560,7
2561,13
2562,30
2563,12
2564,100
2565,5
2566,17
2567,2
2568,1000000000
2569,30
2570,18
2571,30
2572,10
2573,1000000
2574,30
2575,13
2576,1000000000
2577,10
2578,20
2579,1000
2580,0
2581,4
2582,14
2583,8
2584,3
2585,1000000
2586,1000000
2587,12
2588,18
2589,80
2590,13
2591,13
2592,8
2593,18
2594,70
2595,100
2596,1000
2597,7
2598,30
2599,1000000000
2600,6
2601,2
2602,19
2603,80
2604,70
2605,4
2606,16
2607,4
2608,20
2609,1000000
2610,1000000000
2611,17
2612,11
2613,40
2614,9
2615,0
2616,7
2617,60
2618,30
2619,3
2620,17
2621,2
2622,1000
2623,30
2624,50
2625,14
2626,18
2627,13
2628,2
2629,100
2630,2
2631,14
2632,4
2633,11
2634,18
2635,15
2636,0
2637,17
2638,2
2639,7
2640,18
2641,80
2642,2
2643,11
2644,2
2645,40
2646,5
2647,12
2648,1
2649,0
2650,1000
2651,5
2652,100
2653,11
2654,7
2655,16
2656,40
2657,13
2658,0
2659,30
2660,1000
2661,11
2662,50
2663,6
2664,0
2665,1000000
2666,0
2667,20
2668,3
2669,1000
2670,1
2671,13
2672,16
2673,1
2674,1
2675,9
2676,100
2677,9
2678,8
2679,19
2680,100
2681,1000000
2682,6
2683,10
2684,90
2685,16
2686,1000000
2687,1
2688,1000000
2689,100
2690,1
2691,17
2692,18
2693,50
2694,50
2695,13
2696,4
2697,7
2698,70
2699,50
2700,8
2701,1000
2702,7
2703,10
2704,9
2705,1000000000
2706,0
2707,0
2708,60
2709,100
2710,18
2711,4
2712,6
2713,3
2714,13
2715,8
2716,14
2717,9
2718,16
2719,0
2720,4
2721,90
2722,60
2723,12
2724,7
2725,18
2726,3
2727,0
2728,17
2729,13
2730,1
2731,70
2732,4
2733,14
2734,19
2735,100
2736,30
2737,1000
2738,1
2739,11
2740,30
2741,3
2742,7
2743,60
2744,17
2745,15
2746,40
2747,18
2748,40
2749,17
2750,12
2751,0
2752,0
2753,14
2754,6
2755,17
2756,11
2757,7
2758,40
2759,9
2760,7
2761,6
2762,30
2763,10
2764,3
2765,30
2766,20
2767,9
2768,20
2769,10
2770,1000000
2771,8
2772,3
2773,90
2774,1
2775,1000
2776,18
2777,11
2778,19
2779,1000000000
2780,18
2781,70
2782,70
2783,2
2784,18
2785,1000
2786,40
2787,10
2788,90
2789,10
2790,30
2791,80
2792,100
2793,1000000
2794,100
2795,1000
2796,1000
2797,7
2798,8
2799,2
2800,15
2801,2
2802,13
2803,1000000000
2804,40
2805,90
2806,80
2807,18
2808,1000000000
2809,3
2810,15
2811,30
2812,50
2813,1000
2814,60
2815,15
2816,13
2817,70
2818,13
2819,15
2820,18
2821,90
2822,8
2823,12
2824,17
2825,2
2826,60
2827,70
2828,10
2829,100
2830,30
2831,20
2832,16
2833,9
2834,16
2835,18
2836,14
2837,80
2838,10
2839,15
2840,11
2841,13
2842,16
2843,3
2844,3
2845,18
2846,3
2847,11
2848,30
2849,40
2850,19
2851,12
2852,2
2853,6
2854,80
2855,8
2856,9
2857,40
2858,50
2859,0
2860,1000
2861,15
2862,10
2863,3
2864,9
2865,17
2866,12
2867,100
2868,4
2869,100
2870,14
2871,13
2872,1
2873,8
2874,6
2875,1000
2876,11
2877,90
2878,11
2879,1
2880,8
2881,6
2882,4
2883,14
2884,0
2885,70
2886,14
2887,18
2888,20
2889,16
2890,7
2891,30
2892,14
